permit_id,permit_type,zone,project_value_m,missing_documents,reviewer_queue,prior_revisions,contractor_approved_count,delay_risk
50,residential,historic,0.09,4,15,2,13,1
51,tenant_improvement,coastal,4.34,0,22,2,21,0
52,civil,coastal,3.64,1,29,3,21,1
53,commercial,coastal,2.69,0,22,2,6,1
54,tenant_improvement,historic,2.92,1,35,3,23,1
55,residential,coastal,3.39,4,24,0,24,1
56,tenant_improvement,suburban,5.26,1,4,0,7,0
57,residential,historic,2.74,4,15,3,15,1
58,commercial,urban,5.81,0,30,1,5,0
59,civil,urban,3.66,0,32,1,14,0
60,tenant_improvement,historic,4.01,4,30,3,5,1
61,civil,historic,1.74,1,20,3,20,1
62,civil,urban,4.66,1,20,2,10,0
63,residential,suburban,1.05,3,12,1,2,0
64,tenant_improvement,historic,2.75,1,29,3,24,1
65,residential,historic,3.14,2,22,3,13,1
66,commercial,historic,1.49,3,34,0,12,1
67,civil,suburban,5.48,1,37,0,12,0
68,residential,urban,4.21,1,32,1,1,1
69,tenant_improvement,suburban,3.0,2,27,2,24,0
70,civil,coastal,5.44,3,4,0,11,1
71,residential,urban,4.92,1,15,0,19,0
72,commercial,historic,4.38,4,16,3,22,1
73,tenant_improvement,suburban,3.97,0,13,2,3,0
74,tenant_improvement,historic,2.63,1,7,1,3,0
75,tenant_improvement,urban,5.19,4,5,2,17,1
76,tenant_improvement,urban,3.33,2,3,3,15,1
77,tenant_improvement,historic,4.62,3,14,2,19,0
78,civil,historic,2.88,4,20,2,7,1
79,residential,coastal,5.74,1,32,3,10,1
80,tenant_improvement,suburban,3.21,2,19,2,8,0
81,tenant_improvement,urban,3.4,1,8,1,23,0
82,commercial,historic,4.23,3,31,0,2,1
83,civil,suburban,2.05,4,26,3,17,1
84,civil,coastal,2.34,3,20,2,8,1
85,commercial,coastal,0.85,4,14,1,6,1
86,tenant_improvement,coastal,6.37,1,21,1,11,1
87,residential,suburban,1.84,0,38,2,22,0
88,civil,urban,5.68,4,21,3,15,1
89,commercial,urban,1.7,3,10,0,12,0
90,residential,suburban,1.04,4,22,0,7,1
91,civil,suburban,5.06,3,31,3,9,1
92,civil,coastal,3.73,0,9,1,20,1
93,residential,suburban,1.62,4,7,1,0,1
94,civil,coastal,0.29,2,21,3,2,1
95,tenant_improvement,suburban,2.81,4,17,1,8,0
96,residential,urban,1.15,2,21,3,3,1
97,tenant_improvement,historic,6.13,4,37,3,14,1
98,residential,historic,4.8,4,19,0,2,1
99,residential,coastal,3.78,1,33,3,8,1
100,civil,historic,6.3,3,25,3,10,1
101,residential,suburban,2.2,3,21,3,24,1
102,civil,urban,2.1,2,10,3,16,0
103,residential,historic,2.73,1,36,2,19,0
104,civil,urban,1.39,4,11,2,14,0
105,civil,urban,0.27,4,18,1,9,1
106,civil,urban,1.52,0,32,0,20,0
107,civil,coastal,3.35,2,29,3,15,1
108,commercial,historic,1.3,4,35,1,2,1
109,civil,coastal,6.08,4,20,0,9,1
110,civil,suburban,2.95,3,25,2,17,0
111,civil,historic,6.07,1,18,3,7,0
112,civil,urban,2.12,3,27,3,21,0
113,commercial,historic,6.27,1,35,2,3,0
114,civil,urban,3.46,3,3,1,13,0
115,commercial,urban,3.09,2,24,3,20,1
116,tenant_improvement,historic,6.21,3,37,0,19,1
117,tenant_improvement,suburban,4.87,3,9,0,14,1
118,tenant_improvement,urban,0.38,0,21,2,11,0
119,commercial,historic,3.71,1,13,1,2,0
120,civil,suburban,3.28,4,12,1,14,0
121,civil,coastal,4.36,3,21,1,2,1
122,tenant_improvement,coastal,4.18,3,19,3,9,1
123,civil,historic,0.76,3,25,2,22,1
124,civil,coastal,0.13,0,34,2,24,0
125,tenant_improvement,suburban,4.17,4,19,1,20,1
126,residential,coastal,5.14,0,26,1,2,0
127,tenant_improvement,historic,1.21,1,37,2,16,1
128,tenant_improvement,suburban,1.73,3,21,2,3,1
129,residential,suburban,4.92,1,28,2,2,0
130,residential,coastal,3.52,3,26,2,18,1
131,tenant_improvement,urban,4.41,3,4,2,19,1
132,residential,historic,5.92,2,29,0,4,1
133,residential,coastal,6.47,0,9,1,17,1
134,civil,coastal,4.38,4,29,1,13,1
135,civil,historic,6.11,2,5,2,6,1
136,commercial,coastal,0.72,2,37,2,1,1
137,commercial,urban,6.17,3,8,1,20,0
138,residential,urban,5.13,1,11,1,2,0
139,commercial,suburban,5.3,1,24,1,19,1
140,commercial,suburban,3.55,1,10,0,4,1
141,commercial,coastal,0.18,2,6,1,23,1
142,residential,urban,3.14,2,35,0,14,0
143,residential,coastal,3.02,0,6,3,12,1
144,residential,historic,4.65,3,7,0,10,0
145,residential,suburban,1.85,4,38,2,12,0
146,tenant_improvement,historic,3.33,3,9,0,20,0
147,commercial,historic,2.98,1,29,2,14,1
148,residential,coastal,2.82,2,26,1,21,0
149,residential,urban,5.42,0,30,0,23,0
150,commercial,urban,3.85,4,38,2,21,1
151,tenant_improvement,historic,5.65,0,21,2,11,1
152,commercial,suburban,4.3,1,9,2,17,1
153,tenant_improvement,suburban,5.26,4,38,0,19,0
154,tenant_improvement,urban,1.24,2,24,2,0,1
155,commercial,historic,0.53,0,8,1,12,0
156,tenant_improvement,suburban,2.46,2,8,0,4,0
157,residential,urban,1.83,3,34,3,13,1
158,residential,coastal,2.84,2,34,2,1,1
159,residential,urban,1.39,1,11,2,9,0
160,residential,historic,4.88,1,11,3,17,0
161,tenant_improvement,urban,2.63,0,30,0,14,0
162,tenant_improvement,historic,3.76,3,21,0,12,1
163,tenant_improvement,suburban,5.22,4,32,2,2,1
164,residential,suburban,2.88,3,36,0,12,0
165,tenant_improvement,suburban,2.22,1,7,0,16,0
166,tenant_improvement,coastal,4.75,1,18,0,4,1
167,commercial,suburban,4.96,0,14,3,14,0
168,civil,coastal,5.63,2,12,3,2,1
169,tenant_improvement,coastal,3.88,2,35,0,9,1
170,residential,urban,2.45,2,7,0,19,0
171,civil,historic,3.81,0,31,1,10,1
172,commercial,urban,2.97,2,8,1,1,1
173,civil,historic,3.44,4,13,2,11,0
174,civil,historic,5.05,4,6,2,2,1
175,civil,coastal,1.7,4,12,2,2,1
176,commercial,coastal,2.07,3,11,0,9,0
177,tenant_improvement,suburban,4.38,4,8,3,16,1
178,tenant_improvement,coastal,1.24,1,24,3,6,1
179,commercial,suburban,0.58,0,35,0,21,0
180,commercial,historic,1.07,1,13,3,1,1
181,commercial,historic,4.0,3,17,1,9,0
182,civil,suburban,2.44,4,31,3,24,1
183,civil,historic,6.28,1,11,2,1,1
184,tenant_improvement,urban,4.65,4,10,2,2,0
185,tenant_improvement,historic,5.89,1,30,0,7,0
186,tenant_improvement,urban,2.74,3,35,2,7,1
187,residential,coastal,1.52,2,9,2,4,1
188,tenant_improvement,historic,4.55,1,33,3,19,1
189,residential,urban,1.72,1,38,3,3,0
190,commercial,coastal,0.86,1,29,3,2,1
191,civil,urban,4.14,4,18,1,9,1
192,tenant_improvement,suburban,3.74,1,8,2,2,0
193,residential,historic,5.69,0,27,2,8,0
194,tenant_improvement,urban,2.29,0,24,1,1,0
195,tenant_improvement,suburban,5.41,3,33,1,4,1
196,civil,urban,1.96,0,15,0,10,0
197,civil,historic,1.71,1,21,2,24,1
198,tenant_improvement,coastal,0.88,2,30,3,23,1
199,civil,coastal,6.33,3,34,2,16,1
200,residential,historic,0.59,4,14,2,10,1
201,tenant_improvement,coastal,2.05,4,30,1,22,1
202,civil,urban,4.75,2,30,2,20,0
203,residential,urban,4.39,3,26,1,0,1
204,civil,urban,0.89,1,26,2,12,0
205,residential,suburban,4.44,2,26,3,24,1
206,commercial,coastal,2.64,2,18,0,0,0
207,civil,historic,5.94,0,19,2,22,1
208,tenant_improvement,historic,1.37,1,7,3,5,0
209,civil,urban,5.28,2,25,0,17,0
210,tenant_improvement,suburban,4.65,1,26,1,3,0
211,commercial,suburban,5.15,0,26,2,14,0
212,commercial,urban,0.5,3,33,3,24,1
213,residential,suburban,6.32,0,31,3,21,0
214,commercial,suburban,5.01,1,30,0,3,0
215,tenant_improvement,suburban,1.12,1,25,2,2,1
216,tenant_improvement,suburban,4.09,4,37,0,16,0
217,commercial,suburban,4.31,4,24,0,0,1
218,tenant_improvement,suburban,5.0,3,4,3,20,0
219,tenant_improvement,historic,1.65,3,22,3,2,1
220,commercial,historic,2.75,3,16,2,19,1
221,tenant_improvement,coastal,6.34,1,26,0,10,1
222,residential,coastal,2.97,1,9,0,9,0
223,civil,suburban,6.26,1,23,2,6,0
224,civil,historic,3.28,2,34,0,2,0
225,civil,suburban,1.46,2,6,0,9,0
226,civil,coastal,3.53,0,30,1,8,0
227,civil,coastal,0.37,0,38,1,11,1
228,residential,historic,3.32,4,20,0,4,0
229,civil,coastal,5.18,2,38,2,24,1
230,civil,urban,0.37,1,24,3,16,1
231,commercial,coastal,6.06,2,13,3,19,1
232,tenant_improvement,coastal,3.34,4,37,3,22,1
233,civil,urban,2.44,0,29,2,23,0
234,residential,historic,1.78,4,17,0,18,0
235,civil,suburban,5.36,1,5,0,6,1
236,tenant_improvement,historic,1.05,1,29,3,23,0
237,commercial,suburban,3.68,3,36,3,10,0
238,civil,coastal,3.59,2,33,1,7,1
239,tenant_improvement,suburban,6.12,2,21,1,22,0
240,tenant_improvement,historic,2.32,2,21,0,18,0
241,civil,historic,5.33,1,21,0,9,0
242,residential,coastal,6.01,2,33,1,6,0
243,tenant_improvement,coastal,0.96,4,18,1,1,1
244,commercial,suburban,0.42,3,24,3,3,1
245,commercial,urban,6.27,1,29,3,15,1
246,tenant_improvement,coastal,1.91,0,8,1,17,0
247,residential,suburban,2.76,1,5,3,15,1
248,tenant_improvement,urban,0.14,4,9,2,9,1
249,civil,suburban,5.54,3,20,1,3,1
250,civil,coastal,4.69,0,24,2,18,0
251,commercial,suburban,4.0,3,30,2,2,1
252,residential,suburban,6.38,3,23,1,0,1
253,commercial,historic,4.92,2,22,0,8,0
254,commercial,urban,4.37,3,22,1,12,0
255,tenant_improvement,urban,4.18,2,26,1,7,0
256,civil,suburban,3.0,4,26,3,22,1
257,civil,suburban,4.97,4,8,3,16,1
258,residential,urban,0.48,4,35,1,18,0
259,commercial,coastal,5.57,3,10,1,22,1
260,residential,historic,5.27,3,11,3,14,1
261,civil,coastal,4.72,3,19,0,23,1
262,residential,urban,2.8,0,37,0,2,0
263,civil,urban,1.92,1,11,3,11,0
264,civil,historic,5.66,3,27,0,21,0
265,commercial,coastal,0.84,4,28,1,23,0
266,residential,urban,6.36,3,37,3,17,1
267,commercial,suburban,3.04,1,20,1,23,0
268,residential,historic,4.03,0,18,1,2,1
269,residential,historic,3.92,0,18,0,12,0
270,commercial,urban,0.98,2,17,2,18,0
271,tenant_improvement,suburban,2.02,1,36,1,13,0
272,residential,suburban,4.1,3,38,3,1,0
273,civil,coastal,4.55,3,12,2,12,1
274,civil,suburban,5.53,2,12,3,1,1
275,civil,suburban,2.57,2,16,2,20,1
276,civil,coastal,0.67,1,6,2,12,0
277,residential,urban,1.29,4,38,1,15,1
278,tenant_improvement,coastal,6.22,0,16,1,23,1
279,civil,suburban,4.55,1,28,1,17,1
280,tenant_improvement,historic,3.07,2,22,2,11,1
281,civil,historic,0.71,3,23,1,11,1
282,residential,suburban,4.84,0,19,3,9,1
283,tenant_improvement,suburban,2.52,1,34,2,8,0
284,civil,historic,3.04,2,13,1,23,1
285,commercial,urban,3.44,0,6,0,13,0
286,commercial,urban,4.62,0,16,3,11,1
287,civil,historic,0.18,4,38,3,0,1
288,tenant_improvement,coastal,0.19,3,14,0,3,0
289,commercial,suburban,4.06,2,25,2,12,1
290,civil,historic,3.71,1,22,0,20,0
291,residential,urban,2.68,3,38,3,1,1
292,commercial,urban,3.29,3,24,0,16,0
293,commercial,suburban,5.87,4,33,2,1,0
294,tenant_improvement,urban,1.23,2,4,1,18,1
295,civil,urban,2.0,4,18,3,21,0
296,tenant_improvement,historic,4.93,1,8,2,1,1
297,commercial,urban,2.27,4,28,2,0,1
298,civil,historic,1.54,4,27,3,5,1
299,civil,urban,5.04,2,18,0,2,1
300,civil,suburban,4.83,2,26,0,2,1
301,tenant_improvement,historic,2.39,2,9,1,2,1
302,civil,historic,0.74,0,25,0,19,0
303,tenant_improvement,historic,0.16,3,27,0,23,0
304,commercial,suburban,4.48,1,11,2,9,1
305,commercial,urban,1.15,2,29,2,15,0
306,tenant_improvement,coastal,6.14,3,15,3,3,1
307,residential,historic,2.21,4,27,2,14,1
308,commercial,coastal,2.14,1,33,2,5,0
309,tenant_improvement,coastal,4.8,3,18,2,12,1
310,civil,coastal,0.81,4,15,1,21,0
311,residential,historic,6.13,1,31,2,22,1
312,civil,historic,0.97,2,18,2,21,1
313,civil,historic,0.55,4,33,3,17,1
314,civil,urban,5.16,2,37,0,3,0
315,tenant_improvement,suburban,4.23,0,28,2,13,1
316,residential,coastal,1.51,4,38,1,14,1
317,civil,suburban,2.29,0,33,0,9,0
318,residential,urban,5.42,1,25,2,10,0
319,commercial,historic,2.32,0,31,3,10,1
320,residential,urban,0.22,2,9,1,23,0
321,commercial,suburban,2.2,3,32,1,12,1
322,commercial,historic,2.62,4,15,3,18,1
323,residential,suburban,1.4,0,9,1,11,0
324,civil,urban,1.76,3,36,2,19,1
325,civil,urban,2.31,3,14,2,19,0
326,commercial,coastal,0.84,2,10,1,11,0
327,civil,historic,3.91,4,27,3,5,1
328,commercial,suburban,3.22,1,14,2,14,0
329,tenant_improvement,urban,3.19,1,27,3,13,0
330,civil,historic,3.22,0,4,1,9,1
331,commercial,coastal,1.16,3,34,0,18,1
332,tenant_improvement,urban,4.96,3,37,1,13,1
333,commercial,coastal,5.7,0,31,2,11,0
334,residential,historic,5.64,0,18,1,23,0
335,tenant_improvement,historic,1.15,1,16,1,1,0
336,tenant_improvement,suburban,2.16,2,21,2,16,0
337,residential,suburban,6.26,3,6,2,20,1
338,commercial,suburban,1.02,2,18,3,15,1
339,tenant_improvement,historic,2.49,0,8,3,16,0
340,tenant_improvement,historic,6.18,2,3,0,23,0
341,tenant_improvement,urban,5.19,3,16,3,6,1
342,tenant_improvement,coastal,2.25,4,11,3,10,0
343,residential,urban,0.72,3,4,0,5,0
344,residential,historic,1.38,1,22,1,8,1
345,tenant_improvement,coastal,0.61,1,6,3,20,1
346,commercial,historic,4.29,0,3,1,15,1
347,commercial,historic,0.14,2,10,3,22,1
348,residential,suburban,2.54,0,9,2,11,0
349,commercial,historic,5.05,1,12,0,16,0
350,commercial,historic,2.33,1,12,3,19,0
351,commercial,urban,5.84,1,10,3,11,0
352,tenant_improvement,suburban,1.67,0,18,2,24,0
353,residential,coastal,1.4,4,35,1,23,1
354,residential,suburban,3.26,0,18,3,20,0
355,residential,coastal,6.08,1,27,3,11,1
356,commercial,historic,6.21,0,4,0,0,1
357,residential,urban,6.17,3,35,2,20,0
358,civil,historic,4.59,0,37,1,8,1
359,residential,suburban,6.34,1,37,2,12,0
360,residential,coastal,4.57,1,6,1,2,0
361,residential,historic,4.01,0,22,1,3,1
362,commercial,urban,1.13,2,36,2,5,1
363,tenant_improvement,urban,5.03,0,24,3,8,0
364,tenant_improvement,urban,3.27,4,26,0,15,0
365,commercial,coastal,1.09,0,10,1,23,0
366,residential,urban,1.65,3,26,3,4,1
367,residential,historic,1.52,1,29,2,8,0
368,tenant_improvement,urban,3.3,0,14,1,16,0
369,civil,urban,5.71,2,22,2,2,1
370,residential,coastal,1.37,4,22,1,14,1
371,civil,suburban,4.78,4,18,1,0,0
372,residential,suburban,3.56,0,24,0,24,0
373,tenant_improvement,urban,1.4,1,29,3,1,0
374,commercial,coastal,0.68,1,36,3,22,0
375,civil,urban,3.81,4,11,3,2,1
376,residential,historic,4.33,1,18,2,8,0
377,civil,coastal,2.12,2,17,0,6,1
378,residential,suburban,0.76,3,32,2,13,1
379,tenant_improvement,suburban,2.98,3,19,0,2,1
380,tenant_improvement,urban,1.46,2,12,0,22,0
381,tenant_improvement,historic,3.38,2,19,1,0,0
382,civil,suburban,0.69,0,11,0,0,1
383,commercial,suburban,1.35,3,26,0,18,0
384,residential,urban,6.48,1,31,1,2,0
385,tenant_improvement,urban,0.35,3,6,1,18,0
386,civil,historic,0.27,3,14,2,6,0
387,tenant_improvement,coastal,2.94,1,5,1,20,0
388,civil,historic,0.47,2,27,1,13,1
389,commercial,urban,6.43,2,33,3,11,0
390,tenant_improvement,historic,1.82,0,23,1,0,0
391,tenant_improvement,urban,5.27,3,36,2,24,1
392,commercial,suburban,0.72,1,20,0,24,0
393,commercial,historic,2.36,1,14,1,18,1
394,tenant_improvement,urban,4.6,2,12,1,15,0
395,commercial,historic,0.32,0,17,1,0,0
396,residential,coastal,5.97,1,11,2,22,1
397,tenant_improvement,urban,0.22,4,12,0,16,0
398,residential,coastal,4.6,3,9,2,9,1
399,commercial,historic,5.16,3,23,1,22,0
400,tenant_improvement,suburban,4.35,1,27,2,23,0
401,commercial,suburban,4.76,4,28,0,5,1
402,commercial,urban,6.09,1,24,0,7,0
403,tenant_improvement,suburban,4.16,0,24,3,0,1
404,commercial,urban,2.33,0,3,0,12,0
405,civil,suburban,5.76,3,27,2,17,1
406,civil,suburban,1.12,0,5,2,0,0
407,residential,urban,2.27,3,13,0,17,0
408,residential,coastal,3.89,4,33,0,13,0
409,commercial,historic,1.09,0,24,1,6,1
410,tenant_improvement,coastal,1.99,0,6,3,18,0
411,civil,suburban,0.43,0,30,0,9,0
412,civil,suburban,0.7,1,13,2,2,0
413,residential,coastal,5.12,3,34,2,2,1
414,civil,suburban,2.46,3,26,1,14,1
415,civil,historic,1.77,2,6,1,24,0
416,residential,urban,4.37,4,29,1,17,1
417,civil,historic,6.28,3,18,3,9,1
418,residential,suburban,0.85,3,14,1,6,0
419,commercial,urban,2.8,3,15,1,19,1
420,residential,urban,2.57,3,38,2,8,1
421,residential,historic,0.8,1,12,0,3,0
422,residential,coastal,5.65,2,29,2,12,1
423,civil,urban,1.19,3,12,3,1,1
424,tenant_improvement,suburban,0.4,3,20,2,0,1
425,tenant_improvement,coastal,1.88,3,9,1,4,1
426,civil,coastal,1.81,3,8,1,14,1
427,civil,historic,4.96,2,6,1,2,1
428,civil,suburban,5.09,4,4,1,6,0
429,commercial,urban,1.68,3,6,2,22,1
430,tenant_improvement,historic,3.32,0,4,1,11,0
431,civil,suburban,6.25,3,38,2,11,1
432,tenant_improvement,urban,1.91,3,6,1,18,0
433,commercial,suburban,4.24,1,20,3,16,1
434,residential,historic,5.93,1,3,1,8,0
435,tenant_improvement,coastal,2.8,3,25,3,8,1
436,tenant_improvement,historic,3.83,0,35,2,17,0
437,tenant_improvement,coastal,4.47,3,7,2,8,1
438,tenant_improvement,coastal,4.29,2,15,1,16,0
439,residential,historic,4.32,1,4,3,9,1
440,civil,historic,2.57,0,15,2,23,0
441,civil,coastal,3.34,1,38,1,9,1
442,commercial,coastal,4.74,4,14,2,20,1
443,tenant_improvement,suburban,4.86,2,29,2,11,1
444,tenant_improvement,historic,5.54,3,6,0,15,0
445,residential,historic,3.48,3,6,1,4,0
446,tenant_improvement,historic,6.42,3,12,2,22,1
447,residential,historic,2.22,1,23,0,0,0
448,commercial,suburban,3.78,1,34,0,4,0
449,civil,historic,2.83,3,27,0,1,1
450,tenant_improvement,urban,5.81,4,15,0,21,1
451,commercial,suburban,4.53,2,22,1,3,1
452,tenant_improvement,suburban,0.5,0,22,2,14,0
453,tenant_improvement,historic,5.78,1,24,3,11,0
454,commercial,historic,0.2,1,11,1,23,1
455,commercial,urban,2.43,0,27,2,24,0
456,residential,urban,4.33,0,6,0,13,0
457,residential,coastal,3.13,1,16,0,9,0
458,residential,coastal,4.08,1,29,0,16,0
459,residential,coastal,0.81,0,34,1,19,1
460,tenant_improvement,suburban,2.38,3,21,1,1,0
461,commercial,historic,2.2,0,3,0,3,0
462,civil,suburban,6.18,4,7,0,8,0
463,civil,coastal,1.78,0,9,1,1,0
464,tenant_improvement,coastal,2.81,0,9,0,0,0
465,commercial,coastal,2.38,3,20,0,11,0
466,commercial,urban,2.65,3,20,3,22,0
467,civil,suburban,0.81,0,13,0,13,0
468,civil,historic,1.24,3,25,0,21,0
469,commercial,historic,5.99,0,29,3,1,1
470,tenant_improvement,urban,4.6,4,17,2,16,1
471,residential,historic,4.33,1,33,2,21,0
472,civil,suburban,5.47,4,6,0,20,0
473,civil,historic,5.66,0,34,2,7,1
474,tenant_improvement,urban,3.33,4,27,3,7,1
475,civil,historic,0.65,3,31,2,3,0
476,residential,urban,2.67,0,38,0,2,0
477,tenant_improvement,suburban,4.28,3,24,2,1,0
478,civil,coastal,3.68,4,33,2,22,1
479,residential,suburban,0.09,2,21,2,22,1
480,commercial,historic,0.98,3,9,2,19,1
481,residential,historic,1.46,1,24,0,24,0
482,residential,historic,3.02,4,35,1,15,1
483,residential,historic,5.47,3,35,1,22,1
484,commercial,urban,2.57,4,23,3,13,0
485,commercial,coastal,2.63,2,21,3,4,1
486,tenant_improvement,coastal,4.65,4,16,1,6,1
487,tenant_improvement,coastal,5.99,1,14,2,22,1
488,tenant_improvement,historic,3.82,3,37,2,13,0
489,residential,urban,2.53,0,6,1,8,0
490,commercial,coastal,4.47,1,6,2,6,0
491,residential,coastal,5.31,0,38,1,23,0
492,civil,suburban,3.36,2,6,3,12,1
493,tenant_improvement,urban,0.16,2,15,3,7,0
494,tenant_improvement,suburban,5.06,1,21,3,5,0
495,residential,suburban,6.26,4,10,3,1,1
496,tenant_improvement,suburban,1.11,2,3,2,14,0
497,commercial,urban,1.07,2,6,2,15,0
498,tenant_improvement,urban,5.11,2,36,1,5,0
499,commercial,historic,3.57,3,8,2,7,0
500,tenant_improvement,coastal,2.4,1,36,3,17,0
501,residential,urban,4.37,3,18,1,1,0
502,tenant_improvement,historic,5.96,0,27,2,17,0
503,residential,coastal,3.38,4,31,3,1,1
504,commercial,coastal,3.38,0,13,0,20,1
505,commercial,historic,5.44,1,37,3,20,1
506,residential,suburban,0.23,2,5,0,2,1
507,tenant_improvement,urban,3.77,1,19,3,12,1
508,civil,historic,2.11,3,10,0,20,0
509,residential,urban,4.58,0,25,0,9,0
510,tenant_improvement,urban,1.89,3,27,3,21,1
511,commercial,suburban,0.96,3,37,2,20,1
512,tenant_improvement,urban,3.63,4,12,0,1,1
513,civil,urban,2.04,2,16,3,20,0
514,commercial,suburban,1.26,4,19,1,3,1
515,residential,historic,4.22,0,21,0,8,1
516,civil,coastal,2.37,1,9,2,19,1
517,commercial,coastal,3.2,2,22,1,18,1
518,tenant_improvement,historic,1.16,2,18,1,22,0
519,civil,coastal,5.47,1,24,3,14,1
520,tenant_improvement,historic,3.62,1,8,2,4,0
521,commercial,coastal,4.79,0,7,0,16,0
522,civil,suburban,5.9,4,19,3,20,1
523,tenant_improvement,historic,1.51,4,21,1,14,1
524,residential,historic,2.42,0,18,1,24,0
525,civil,suburban,1.23,4,12,3,11,1
526,civil,suburban,0.48,2,17,0,21,1
527,tenant_improvement,historic,3.1,3,5,0,20,0
528,tenant_improvement,coastal,3.79,4,14,3,20,1
529,residential,coastal,2.5,1,36,3,11,0
530,tenant_improvement,historic,5.17,4,3,1,14,1
531,residential,coastal,1.44,1,13,2,19,0
532,residential,suburban,2.74,2,10,3,21,0
533,commercial,suburban,4.24,3,4,1,1,1
534,commercial,suburban,4.12,0,12,0,5,0
535,commercial,historic,3.93,4,4,2,2,1
536,civil,historic,1.18,3,12,1,19,0
537,tenant_improvement,suburban,4.73,2,32,0,7,0
538,commercial,urban,0.19,4,35,3,4,1
539,commercial,historic,5.87,4,5,0,2,1
540,commercial,urban,5.84,3,36,3,11,1
541,civil,suburban,6.1,3,27,2,18,0
542,residential,historic,0.94,3,17,0,9,0
543,civil,coastal,1.29,0,36,0,16,1
544,commercial,coastal,2.7,0,12,3,20,1
545,tenant_improvement,historic,3.71,4,20,3,24,1
546,civil,suburban,2.46,4,33,2,9,1
547,civil,suburban,5.57,0,17,3,22,0
548,residential,suburban,3.34,2,38,0,5,0
549,residential,urban,5.37,3,30,0,2,1
550,tenant_improvement,urban,3.99,3,28,2,22,0
551,residential,suburban,4.19,3,3,1,21,0
552,tenant_improvement,suburban,0.3,4,35,1,19,1
553,residential,coastal,1.62,0,13,0,8,0
554,tenant_improvement,historic,2.68,1,36,0,23,0
555,residential,coastal,4.74,4,25,2,8,1
556,commercial,historic,6.05,4,3,2,5,1
557,residential,urban,3.31,2,10,2,17,0
558,tenant_improvement,historic,6.28,4,33,1,24,1
559,civil,historic,5.84,0,33,0,8,1
560,commercial,suburban,5.22,3,25,0,22,0
561,commercial,coastal,0.68,2,7,1,15,1
562,commercial,coastal,1.25,1,34,1,7,0
563,tenant_improvement,suburban,1.55,1,25,1,24,1
564,residential,historic,4.02,4,5,3,11,1
565,civil,coastal,3.23,4,20,3,7,1
566,commercial,urban,3.46,3,33,0,16,1
567,commercial,historic,6.35,4,32,2,22,1
568,commercial,historic,3.81,2,26,2,5,1
569,commercial,coastal,3.11,4,24,2,5,1
570,commercial,historic,4.58,2,26,3,8,1
571,commercial,suburban,5.31,2,18,3,12,1
572,commercial,historic,5.25,1,29,3,4,0
573,tenant_improvement,historic,2.01,4,6,3,3,1
574,residential,suburban,5.3,3,9,3,23,1
575,tenant_improvement,coastal,3.68,2,25,0,13,1
576,commercial,suburban,6.37,2,25,2,21,1
